"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "CSS", "XML", "Svelte", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\jbcarreon123\Documents\jbsite3\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 9, 57
"c:\Users\jbcarreon123\Documents\jbsite3\.prettierrc", "JSON", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\jbcarreon123\Documents\jbsite3\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
"c:\Users\jbcarreon123\Documents\jbsite3\bun.lock", "JSON with Comments", 0, 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 549, 1160
"c:\Users\jbcarreon123\Documents\jbsite3\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\jbcarreon123\Documents\jbsite3\package-lock.json", "JSON", 0, 0, 0, 7303, 0, 0, 0, 0, 0, 0, 0, 1, 7304
"c:\Users\jbcarreon123\Documents\jbsite3\package.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\jbcarreon123\Documents\jbsite3\src\app.css", "CSS", 0, 0, 0, 0, 385, 0, 0, 0, 0, 0, 0, 71, 456
"c:\Users\jbcarreon123\Documents\jbsite3\src\app.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 14
"c:\Users\jbcarreon123\Documents\jbsite3\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\jbcarreon123\Documents\jbsite3\src\hooks.server.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\autoanimate\bouncy.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\blogs\get-blogs.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\bookmarks\bookmark-card.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\bookmarks\bookmarks.ts", "TypeScript", 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 314
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\changelogs-todo.js", "JavaScript", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 3, 123
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\components\background.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 30, 174
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\components\blog-card.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
